abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_1037	(1) s_0533 + (1) s_0561 <-> (1) s_0539 + (1) s_0731	reversible	NA	-1000.00	1000.00	  0.00	((YBR117C) or (YPR074C))	
r_1038	(1) s_0419 -> (1) s_1207 + (1) s_0416	irreversible	NA	  0.00	1000.00	  0.00	(YDR074W)	
r_1039	(1) s_0596 + (1) s_1307 <-> (1) s_1399	reversible	NA	-1000.00	1000.00	  0.00	(YDR058C)	
r_1040	(1) s_0598 + (1) s_0667 <-> (1) s_1400	reversible	NA	-1000.00	1000.00	  0.00	((YKR089C) or (YMR313C) or (YOR081C))	
r_1041	(1) s_0735 <-> (1) s_0731	reversible	NA	-1000.00	1000.00	  0.00	(YDR050C)	
r_1042	(1) s_0943 + (1) s_0088 -> (1) s_0731 + (1) s_0952	irreversible	NA	  0.00	1000.00	  0.00	(YGL026C)	
r_1043	(1) s_0185 + (1) s_0952 <-> (1) s_0899 + (1) s_0213	reversible	NA	-1000.00	1000.00	  0.00	((YGL202W) or (YHR137W))	
r_1044	(1) s_0446 + (1) s_0952 -> (1) s_0434 + (1) s_0605 + (1) s_1402	irreversible	NA	  0.00	1000.00	  0.00	(YOL097C)	
r_1045	(1) s_0449 + (1) s_0954 -> (1) s_0435 + (1) s_0608 + (1) s_1403	irreversible	NA	  0.00	1000.00	  0.00	(YDR268W)	
r_1046	(1) s_0446 + (1) s_0091 <-> (1) s_0400 + (1) s_0112	reversible	NA	-1000.00	1000.00	  0.00	(YJL100W)	
r_1047	(1) s_0452 + (1) s_0096 <-> (1) s_0406 + (1) s_0117	reversible	NA	-1000.00	1000.00	  0.00	(YJL100W)	
r_1048	(1) s_0452 + (1) s_1242 <-> (1) s_0406 + (1) s_0117	reversible	NA	-1000.00	1000.00	  0.00	(YJL100W)	
r_1049	(1) s_0446 + (1) s_1241 <-> (1) s_0400 + (1) s_0111	reversible	NA	-1000.00	1000.00	  0.00	(YJL100W)	
r_1050	(1) s_0899 + (1) s_0209 -> (1) s_0185 + (1) s_0955	irreversible	NA	  0.00	1000.00	  0.00	((YGL202W) or (YHR137W))	
r_1051	(1) s_0901 + (1) s_0210 -> (1) s_0187 + (1) s_0957	irreversible	NA	  0.00	1000.00	  0.00	(YKL106W)	
r_1052	(1) s_0903 + (1) s_0211 -> (1) s_0189 + (1) s_0958	irreversible	NA	  0.00	1000.00	  0.00	(YLR027C)	
r_1053	(1) s_0446 + (1) s_0955 -> (1) s_0434 + (1) s_0605 + (1) s_1407	irreversible	NA	  0.00	1000.00	  0.00	(YGR185C)	
r_1054	(1) s_0449 + (1) s_0957 -> (1) s_0435 + (1) s_0608 + (1) s_1408	irreversible	NA	  0.00	1000.00	  0.00	(YPL097W)	
